ITEM_ID	SCREEN_ID	ITEM_CD	DICT_ID	ITEM_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	DISPLAY_REQUIRED
1	1	msg1	3335		1	1		0	1
2	1	msg2	2717		1	1		0	1
3	1	return	2650		1	1		0	1
4	1	send	2649		1	1		0	1
5	2	programName	3333		1	1		0	1
6	3	attendance	3337		1	1		0	1
7	3	leaving	3338		1	1		0	1
8	3	startRest	3339		1	1		0	1
9	3	endRest	3340		1	1		0	1
10	3	return	2650		1	1		0	1
11	4	msg1	3353		1	1		0	1
12	4	msg2	3350		1	1		0	1
13	4	msg3	3351		1	1		0	1
14	4	return	2650		1	1		0	1
15	4	send	1857		1	1		0	1
16	5	programName	3376		1	1		0	1
17	6	programName	3373		1	1		0	1
18	7	programName	3375		1	1		0	1
19	8	programName	3386		1	1		0	1
20	9	selectText	2728		1	1		0	1
21	9	return	2650		1	1		0	1
22	10	text	2673		1	1		0	1
23	10	no	2667		1	1		0	1
24	10	yes	2668		1	1		0	1
25	11	text	2672		1	1		0	1
26	11	no	2667		1	1		0	1
27	11	yes	2668		1	1		0	1
28	12	text	1893		1	1		0	1
29	12	end	2670		1	1		0	1
30	12	continue	2671		1	1		0	1
31	13	fatal	2669		1	1		0	1
32	13	return	2650		1	1		0	1
33	13	end	2670		1	1		0	1
34	13	continue	2671		1	1		0	1
35	14	text3	2698		1	1		0	1
36	14	resume	2697		1	1		0	1
37	15	return	2650		1	1		0	1
38	15	end	2670		1	1		0	1
39	15	continue	2671		1	1		0	1
40	16	programName	3371		1	1		0	1
41	17	programName	3382		1	1		0	1
42	18	productCd	765		1	1		0	1
43	18	productShape	2675		1	1		0	1
44	18	productShapeInput	2677		1	1		0	1
45	18	qty	1127		1	1		0	1
46	18	return	2650		1	1		0	1
47	18	ok	2676		1	1		0	1
48	19	programName	3384		1	1		0	1
49	20	msg1	2802		1	1		0	1
50	20	msg2	2689		1	1		0	1
51	20	no	2667		1	1		0	1
52	20	yes	2668		1	1		0	1
53	21	return	2650		1	1		0	1
54	22	programName	2663		1	1		0	1
55	23	loc	776		1	1		0	1
56	23	janCd	180		1	1		0	1
57	23	option1	2680		1	1		0	1
58	23	return	2650		1	1		0	1
59	23	send	2649		1	1		0	1
60	24	consigenmentCls	762		1	1		0	1
61	24	stockType	764		1	1		0	1
62	24	option1	762		1	1		0	1
63	24	option2	764		1	1		0	1
64	24	return	2650		1	1		0	1
65	24	send	2649		1	1		0	1
66	25	loc	776		1	1		0	1
67	25	janCd	180		1	1		0	1
68	25	productCd	765		1	1		0	1
69	25	limitDt	313		1	1		0	1
70	25	deposit	762		1	1		0	1
71	25	stockType	764		1	1		0	1
72	25	option1	2680		1	1		0	1
73	25	return	2650		1	1		0	1
74	25	send	2649		1	1		0	1
75	26	loc	776		1	1		0	1
76	26	janCd	180		1	1		0	1
77	26	productCd	765		1	1		0	1
78	26	lot	266		1	1		0	1
79	26	limitDt	313		1	1		0	1
80	26	deposit	762		1	1		0	1
81	26	stockType	764		1	1		0	1
82	26	qty	1127		1	1		0	1
83	26	return	2650		1	1		0	1
84	26	prev	2652		1	1		0	1
85	26	next	2651		1	1		0	1
86	27	loc	776		1	1		0	1
87	27	return	2650		1	1		0	1
88	27	send	2649		1	1		0	1
89	28	loc	776		1	1		0	1
90	28	janCd	180		1	1		0	1
91	28	productCd	765		1	1		0	1
92	28	lot	266		1	1		0	1
93	28	deposit	762		1	1		0	1
94	28	stockType	764		1	1		0	1
95	28	option1	2680		1	1		0	1
96	28	return	2650		1	1		0	1
97	28	send	2649		1	1		0	1
98	29	loc	776		1	1		0	1
99	29	janCd	180		1	1		0	1
100	29	productCd	765		1	1		0	1
101	29	lot	266		1	1		0	1
102	29	limitDt	313		1	1		0	1
103	29	deposit	762		1	1		0	1
104	29	stockType	764		1	1		0	1
105	29	option1	2680		1	1		0	1
106	29	return	2650		1	1		0	1
107	29	send	2649		1	1		0	1
108	30	loc	776		1	1		0	1
109	30	janCd	180		1	1		0	1
110	30	productCd	765		1	1		0	1
111	30	lot	266		1	1		0	1
112	30	limitDt	313		1	1		0	1
113	30	deposit	762		1	1		0	1
114	30	stockType	764		1	1		0	1
115	30	qty	1127		1	1		0	1
116	30	option1	2680		1	1		0	1
117	30	return	2650		1	1		0	1
118	30	send	2649		1	1		0	1
119	30	inputAuxiliary	2679		1	1		0	1
120	31	programName	3396		1	1		0	1
121	32	msg1	2810		1	1		0	1
122	32	msg2	2888		1	1		0	1
123	32	msg3	2811		1	1		0	1
124	32	loc	776		1	1		0	1
125	32	productCd	765		1	1		0	1
126	32	lot	266		1	1		0	1
127	32	limitDt	313		1	1		0	1
128	32	qty	1127		1	1		0	1
129	32	return	2650		1	1		0	1
130	32	send	2649		1	1		0	1
131	33	programName	3395		1	1		0	1
132	33	title	5514		1	1		0	1
133	33	inspectionCategory	5509		1	1		0	1
134	33	productCd	4918		1	1		0	1
135	33	productName	4960		1	1		0	1
136	33	locationCd	5511		1	1		0	1
137	33	cartonQty	5118		1	1		0	1
138	33	caseQty	5515		1	1		0	1
139	33	return	2650		1	1		0	1
140	33	send	884		1	1		0	1
141	34	programName	3395		1	1		0	1
142	34	title	5529		1	1		0	1
143	34	msg1	5530		1	1		0	1
144	34	inspectionCategory	5509		1	1		0	1
145	34	locationCd	5511		1	1		0	1
146	34	productCd	4918		1	1		0	1
147	34	productName	4960		1	1		0	1
148	34	caseQty	5117		1	1		0	1
